sl no,Trawler Name,Fishing Days,Sardine,Croaker,Ribbon,Grunter,Scads,Mackrel,Sole/Flat,Cat fish,Red Snapper,Big Eye,Hilsha,Pomfret,Red fish / Rupban,Eel,Shark/Rays,Cuttle/Squid,Kawa Tuna,Bullet Tuna,Frigate Tuna,Skipjack Tuna,Others Tuna,BombayDuck,Marinemammal,Others,Total,Shrimp CatchKg
13,FV Sea heart-2,148,69220,16684,28204,0,68756,30425,78,40807,41,23920,11693,2216,15910,566,767,1282,52,0,755,22,0,12856,0,143170,467424,6346
14,FV Sea Heart-1,110,97437,9134,35222,0,50895,34990,82,15631,20,70451,5333,1769,3902,567,203,2213,445,0,0,0,1427,6186,0,204162,540069,1865
15, FV Lakkha,74,137474,6991,16961,47,35523,25598,442,54368,8,17651,1314,526,1831,229,4225,948,307,4161,117,0,179,5500,0,112613,427013,647
16,FV Blue MT-1 ,171,347685,11791,33201,0,41178,64134,0,34308,1832,139715,26198,2300,1812,965,0,672,0,240,406,0,236,8989,0,176839,892501,733
17,FV Blue MT-7,163,201571,32902,33710,0,39120,63771,320,24249,0,88275,3185,583,0,60,0,140,0,0,0,0,0,6056,0,185861,679803,235
18,FV Meghna-1,106,580,21001,10859,0,3608,7298,0,14604,1344,5041,0,2427,19337,3677,0,5706,0,0,0,0,0,2613,0,48460,146555,2314
19,FV Meghna-3,170,234879,17273,44280,0,92639,45901,0,27981,0,103199,20977,3030,4125,65,0,130,0,0,0,0,0,13395,0,365121,972995,595
20,FV Meghna-5,147,132149,36891,40692,84,44095,18539,2417,23362,0,44652,19973,2186,42504,4800,211,5854,0,163,0,0,0,12492,0,215897,646961,3562
21,FV Khadem Ali-1,168,282377,31226,38885,23,52206,33177,1238,40355,0,94342,11251,8526,19918,1203,0,451,0,21,228,0,1025,16265,0,334843,967560,34301
22,FV  S Nahar-1 ,139,160901,64832,38543,0,31069,41758,2290,15419,0,24458,454,6415,42377,3564,2985,7720,100,0,61,0,251,13343,0,244925,701465,7881
23,FV Mitali,51,14270,25314,35355,0,16454,7815,948,5246,203,4694,1823,4274,7041,947,474,1337,0,0,0,0,0,5221,0,74127,205543,1079
24,FV Shahjalal 2,145,161879,37041,35062,21,52154,16259,41,15197,203,6245,14610,3135,53223,3430,103,5722,0,185,226,0,0,15930,0,217954,638620,2814
25,FV SRL 1,188,190364,21515,29396,1497,75767,59641,511,34741,2292,15151,8724,3198,27589,1243,1548,5530,0,522,1871,0,3490,3243,0,406539,894372,3399
26,FV SRL-2,160,187596,48524,34370,750,64906,47998,5560,75326,2839,45148,15588,3143,5492,1059,316,4917,3372,550,55,0,0,8266,0,269732,825507,5570
27,FV SRL-4,116,158407,19897,27817,1645,61630,53602,1139,36721,10,48350,4977,3665,9980,957,818,1238,1044,31,0,0,0,15224,0,106613,553765,3924
28,FV SRL-5,189,173981,53361,44225,108,64715,54639,514,22363,42,76882,37093,3236,31428,3997,1720,4431,516,0,201,0,3238,8887,0,318263,903840,5132
29,FV SRL-7,188,159669,39475,47532,0,33173,51132,243,24849,133,39534,8078,4306,30547,942,1889,6724,0,60,100,0,357,16455,0,276613,741811,12179
30,FV SRL 8,183,250441,18939,39208,130,76575,27929,0,34211,1665,133712,19010,3503,9090,343,465,1141,0,0,0,0,0,8405,0,204464,829231,2422
31,FV Deep Sea-2,173,80480,63010,28538,139,26474,38264,5430,13679,1476,11056,8631,5514,74973,1289,350,9729,0,0,575,0,0,3668,0,326423,699698,10576
32,FV Deep Sea-1 (Agrfd-1),191,270051,33030,56082,23,474698,81149,0,223029,1759,39352,56949,8049,1462,1799,148,87,0,0,3750,0,0,5514,0,478204,1735135,151
33,FV Agroford-02,207,212250,25423,37953,250,199391,33011,0,175418,166,18069,51550,4550,1529,786,759,232,72,0,0,399,0,10492,0,540505,1312805,95
34,FV Agroford-03,181,230917,47680,64711,80,535643,81312,0,170904,350,80946,106117,3936,1144,935,1403,4029,0,0,3850,0,1712,5391,0,474512,1815572,0
35,FV Agroford-04,177,145406,60655,69582,0,393978,89587,0,122303,0,37805,52546,3801,0,392,0,674,0,0,0,0,0,0,0,493360,1470089,1820
36,FV Tasfiqe,188,296041,25467,51513,2353,65707,102725,0,15824,2519,180248,3057,3724,1933,1324,1093,633,930,0,0,0,84,16218,0,360745,1132138,386
37,FV Momia,174,321797,41600,42242,766,96305,89739,168,81371,516,91673,2628,7374,4822,4628,5557,10020,0,42,631,0,0,39561,0,441116,1282556,1321
38,FV  Orca,149,39867,24025,12723,100,6576,13470,2336,13030,1830,18695,300,1831,45588,4095,443,7128,0,0,0,0,2820,2820,0,89123,286800,3881
39,FV Gladiator,143,507194,47506,42551,181,146556,77364,0,50772,204,58094,92395,2826,3001,1827,2346,4995,0,0,2282,0,0,16030,0,373555,1429679,3861
40,FV  Kingfisher,150,239883,19673,28183,1378,37053,20138,0,54075,82,51466,4455,2140,7263,1554,0,2974,0,0,0,0,2729,9718,0,208617,691381,6465
41,FV  Mehriz,128,58778,12954,16012,0,8744,2035,0,11852,6027,9495,9552,163,42679,0,184,370,0,0,0,0,0,8407,0,151058,338310,226
42,FV Zinia,181,16330,31196,33526,42,21518,3053,145,11613,508,21463,5034,2479,63384,1504,103,10386,0,0,0,0,0,10064,0,282571,514919,710
43,FV  Teodor-1,170,253620,25087,27067,287,82696,41940,392,28148,268,85208,42333,3522,3665,2223,1210,2923,0,0,432,0,0,21083,0,334615,956719,3569
44,FV Tanz. Takrim,163,302255,33773,54140,3597,186325,61251,0,59260,324,210092,35149,4148,3762,389,0,400,0,0,0,0,0,8952,0,220137,1183954,0
45,FV Teodor-2,159,82984,18825,39446,0,30900,33886,0,15200,680,41439,8415,13454,8024,1916,1092,4658,185,2999,0,0,1916,9483,0,161934,477436,4317
46,FV Usha,176,92977,40315,40880,278,52889,32544,1131,16967,1212,13066,7531,19997,57942,2248,904,12500,0,608,0,0,3103,10562,0,419964,827618,6406
47,FV Sukhtara,197,95295,46546,59202,91,85413,20553,934,36609,406,38361,5440,6832,63035,2066,541,8816,1482,25,0,0,3019,6878,0,292299,773843,7199
48,FV S&A Bay of Bengal,128,100618,21795,33894,198,37275,26722,0,13172,131,20828,1317,1794,36723,1502,2352,9461,0,0,0,0,0,7889,0,233947,549618,1804
49,FV  Hafiz Bari,172,44404,30212,19736,1418,15914,30273,878,12958,369,10046,0,3553,13373,556,0,2282,0,1823,0,0,0,7869,0,119787,315451,887
50,FV Hafz.Zamiruddin,161,14137,26015,24604,0,18742,12204,4771,17005,928,32725,1854,4894,36877,3126,433,5088,0,0,0,0,0,7982,0,121095,332480,7633
51,FV  Zaran,175,35325,38289,37282,87,26870,18067,2059,11842,302,13800,4090,4940,46730,868,779,11925,0,1307,22,0,0,8406,0,399620,662610,5270
52,FV Sanya,175,49347,25005,35292,21,24588,3811,2132,13528,710,18075,4239,2495,70231,397,1195,6866,0,0,0,0,4694,18412,0,235574,516612,5196
53,FV Chingri,169,51567,22256,25405,0,15534,15505,0,13318,0,17733,16507,3688,33841,1457,885,1829,0,0,0,0,274,3506,0,193926,417231,1945
54,FV Universal-4,67,6000,7211,9610,81,10412,10866,1453,7196,81,0,0,1766,22793,194,0,2198,0,173,0,0,0,0,0,37060,117094,1032
55,FV Comilla,119,111056,15175,29815,0,55156,18980,0,13983,1100,12886,4400,5855,4610,1677,390,3731,0,972,0,0,0,8030,0,250200,538016,2910
56,FV Haque,144,126180,35019,42851,102,37366,35970,0,9484,0,43663,4180,5647,29490,1733,1486,3617,0,0,0,0,1405,11008,0,219470,608671,9846
57,FV Oceanid-1(Fish Bird-1),144,10586,20600,13936,127,9872,11028,6250,12564,308,6509,0,4523,27897,1691,2523,6405,1329,1848,428,0,0,8634,0,144228,291286,4034
